#{"t_start": 1695645162.9988813, "env_id": "CartPole-v1"}
r,l,t
10.0,10,0.072
10.0,10,0.077
8.0,8,0.081
10.0,10,0.085
9.0,9,0.089002
9.0,9,0.093
10.0,10,0.097
10.0,10,0.100999
9.0,9,0.106
11.0,11,0.11
8.0188.0,188,4.803001
284.0,284,4.868001
218.0,218,4.923
188.0,188,4.967
234.0,234,5.02
218.0,218,5.071
152.0,152,5.107
216.0,216,5.159999
211.0,211,5.210001
207.0,207,5.259
116.0,116,9.148
167.0,167,9.187
166.0,166,9.226002
276.0,276,9.291
14.0,14,9.295
193.0,193,9.339
137.0,137,9.371999
272.0,272,9.435
102.0,102,9.457999
33.0,33,9.466
338.0,338,13.409
16.0,16,13.413001
18.0,18,13.417
66.0,66,13.433005
153.0,153,13.467999
10.0,10,13.471002
96.0,96,13.493002
30.0,30,13.5
14.0,14,13.504
275.0,275,13.566999
46.0,46,17.460999
34.0,34,17.468999
19.0,19,17.473002
122.0,122,17.502
108.0,108,17.530001
19.0,19,17.533999
170.0,170,17.576
10.0,10,17.579
220.0,220,17.631
102.0,102,17.656
499.0,499,21.741
429.0,429,21.844
243.0,243,21.901001
235.0,235,21.956999
319.0,319,22.033
205.0,205,22.08
151.0,151,22.115
220.0,220,22.164
244.0,244,22.219
500.0,500,22.334001
108.0,108,26.547999
11.0,11,26.549999
169.0,169,26.588001
171.0,171,26.628
163.0,163,26.667
72.0,72,26.683001
112.0,112,26.708999
209.0,209,26.757999
122.0,122,26.785
159.0,159,26.821
150.0,150,30.849001
111.0,111,30.874001
97.0,97,30.897002
213.0,213,30.946
116.0,116,30.972
177.0,177,31.014
81.0,81,31.033
97.0,97,31.056
82.0,82,31.074999
9.0,9,31.077
102.0,102,35.352001
199.0,199,35.398002
101.0,101,35.421
79.0,79,35.439
97.0,97,35.460999
105.0,105,35.484999
157.0,157,35.528
173.0,173,35.569
165.0,165,35.609999
166.0,166,35.65
190.0,190,39.785
105.0,105,39.807999
88.0,88,39.833001
171.0,171,39.875
151.0,151,39.910002
242.0,242,39.967
281.0,281,40.032001
77.0,77,40.049999
181.0,181,40.091
110.0,110,40.117
90.0,90,44.235
94.0,94,44.256999
336.0,336,44.335
187.0,187,44.378
70.0,70,44.394001
206.0,206,44.442
390.0,390,44.533
92.0,92,44.555
157.0,157,44.590999
230.0,230,44.644
118.0,118,48.766999
92.0,92,48.788999
191.0,191,48.835
78.0,78,48.853002
115.0,115,48.878999
121.0,121,48.906
217.0,217,48.957999
100.0,100,48.981
97.0,97,49.003001
188.0,188,49.047
160.0,160,53.117001
134.0,134,53.149
134.0,134,53.178999
147.0,147,53.213001
236.0,236,53.269
252.0,252,53.326999
250.0,250,53.385
129.0,129,53.414001
81.0,81,53.433
148.0,148,53.471001
149.0,149,57.6
160.0,160,57.639001
152.0,152,57.677001
294.0,294,57.748002
192.0,192,57.794001
138.0,138,57.826999
251.0,251,57.887001
188.0,188,57.931003
102.0,102,57.954001
140.0,140,57.985999
119.0,119,62.450999
124.0,124,62.48
167.0,167,62.519002
171.0,171,62.585999
122.0,122,62.618
87.0,87,62.638999
114.0,114,62.665
112.0,112,62.693001
78.0,78,62.712002
216.0,216,62.766
126.0,126,67.151
112.0,112,67.177
117.0,117,67.204001
93.0,93,67.226
79.0,79,67.244001
155.0,155,67.280001
161.0,161,67.316999
219.0,219,67.367999
104.0,104,67.391
141.0,141,67.423002
141.0,141,71.690999
176.0,176,71.732001
164.0,164,71.77
108.0,108,71.795002
92.0,92,71.816
98.0,98,71.838
341.0,341,71.916
77.0,77,71.934001
80.0,80,71.952001
110.0,110,71.977999
147.0,147,76.235
78.0,78,76.253004
172.0,172,76.292
98.0,98,76.314001
167.0,167,76.352
87.0,87,76.373002
150.0,150,76.406999
122.0,122,76.434
116.0,116,76.462
125.0,125,76.490999
86.0,86,80.714
138.0,138,80.746
75.0,75,80.763001
163.0,163,80.8
86.0,86,80.82
124.0,124,80.848
70.0,70,80.864
139.0,139,80.896
82.0,82,80.915
139.0,139,80.946999
65.0,65,85.287999
121.0,121,85.316
210.0,210,85.364001
104.0,104,85.387
62.0,62,85.401
77.0,77,85.419
129.0,129,85.448001
196.0,196,85.494001
51.0,51,85.505001
81.0,81,85.524
129.0,129,90.0
82.0,82,90.021001
148.0,148,90.057002
67.0,67,90.074001
170.0,170,90.115999
141.0,141,90.151
155.0,155,90.189001
77.0,77,90.207001
110.0,110,90.234
57.0,57,90.247
71.0,71,94.699
65.0,65,94.715
55.0,55,94.727
68.0,68,94.744
66.0,66,94.76
83.0,83,94.780001
79.0,79,94.797999
154.0,154,94.835
167.0,167,94.875
140.0,140,94.909
80.0,80,99.357
235.0,235,99.411
76.0,76,99.429
57.0,57,99.442001
58.0,58,99.454999
95.0,95,99.478
124.0,124,99.507002
57.0,57,99.521
160.0,160,99.559
82.0,82,99.578
84.0,84,104.100002
138.0,138,104.133
59.0,59,104.147001
68.0,68,104.164003
88.0,88,104.185
93.0,93,104.205999
56.0,56,104.219001
70.0,70,104.236001
50.0,50,104.248
162.0,162,104.285
125.0,125,108.775
114.0,114,108.802
58.0,58,108.816
61.0,61,108.83
58.0,58,108.844001
153.0,153,108.880001
67.0,67,108.896001
93.0,93,108.918002
48.0,48,108.928999
129.0,129,108.959
38.0,38,113.648
163.0,163,113.685
46.0,46,113.696
75.0,75,113.714001
70.0,70,113.732001
89.0,89,113.756001
55.0,55,113.77
66.0,66,113.785001
163.0,163,113.824001
102.0,102,113.849
74.0,74,122.076999
67.0,67,122.114999
78.0,78,122.158
37.0,37,122.179001
64.0,64,122.214002
45.0,45,122.24
42.0,42,122.264002
32.0,32,122.283001
50.0,50,122.311001
65.0,65,122.347002
95.0,95,132.096999
143.0,143,132.176
67.0,67,132.213001
98.0,98,132.268
113.0,113,132.331002
49.0,49,132.358
125.0,125,132.428
92.0,92,132.479001
131.0,131,132.553
67.0,67,132.593
77.0,77,142.322073
30.0,30,142.339073
114.0,114,142.402073
72.0,72,142.441071
32.0,32,142.458071
154.0,154,142.544074
56.0,56,142.578073
47.0,47,142.604074
81.0,81,142.648073
49.0,49,142.676073
63.0,63,152.271072
76.0,76,152.315073
57.0,57,152.347072
58.0,58,152.380071
109.0,109,152.440073
100.0,100,152.496074
95.0,95,152.553071
57.0,57,152.587073
86.0,86,152.636073
63.0,63,152.672073
51.0,51,162.389432
52.0,52,162.418433
88.0,88,162.467432
93.0,93,162.519664
47.0,47,162.544662
83.0,83,162.590663
83.0,83,162.637662
50.0,50,162.665662
104.0,104,162.723857
69.0,69,162.762857
55.0,55,172.520624
217.0,217,172.642623
93.0,93,172.694625
142.0,142,172.774625
84.0,84,172.820625
81.0,81,172.865625
72.0,72,172.905628
77.0,77,172.949442
98.0,98,173.003444
61.0,61,173.038507
47.0,47,182.890605
54.0,54,182.922605
56.0,56,182.954607
151.0,151,183.040607
54.0,54,183.070606
39.0,39,183.093607
79.0,79,183.138607
160.0,160,183.229607
46.0,46,183.255606
55.0,55,183.286609
44.0,44,193.050171
96.0,96,193.105172
31.0,31,193.123057
29.0,29,193.140056
50.0,50,193.169053
89.0,89,193.220054
27.0,27,193.235054
70.0,70,193.273055
56.0,56,193.304382
143.0,143,193.388382
58.0,58,203.163512
33.0,33,203.181513
44.0,44,203.206513
30.0,30,203.222511
34.0,34,203.242921
81.0,81,203.289924
49.0,49,203.317923
49.0,49,203.344923
32.0,32,203.361922
30.0,30,203.378922
77.0,77,213.054679
51.0,51,213.083679
46.0,46,213.109679
66.0,66,213.146679
43.0,43,213.170998
30.0,30,213.187998
38.0,38,213.209997
82.0,82,213.255998
57.0,57,213.289419
79.0,79,213.334417
53.0,53,222.879634
27.0,27,222.894635
101.0,101,222.950634
159.0,159,223.040635
64.0,64,223.075636
61.0,61,223.109638
50.0,50,223.136635
80.0,80,223.186636
78.0,78,223.233635
27.0,27,223.248635
51.0,51,232.869042
75.0,75,232.911039
112.0,112,232.972159
29.0,29,232.989159
157.0,157,233.07474
73.0,73,233.11474
31.0,31,233.131889
38.0,38,233.153878
55.0,55,233.185875
38.0,38,233.206876
58.0,58,243.126638
73.0,73,243.17064
90.0,90,243.22464
77.0,77,243.269639
66.0,66,243.30864
58.0,58,243.342639
91.0,91,243.396639
56.0,56,243.431053
169.0,169,243.532803
100.0,100,243.588804
98.0,98,253.227802
82.0,82,253.274802
26.0,26,253.289804
59.0,59,253.323804
144.0,144,253.405802
53.0,53,253.436803
53.0,53,253.465802
56.0,56,253.496803
103.0,103,253.554804
101.0,101,253.611803
50.0,50,263.261844
78.0,78,263.306847
77.0,77,263.350845
72.0,72,263.391844
72.0,72,263.431845
49.0,49,263.459845
69.0,69,263.497846
163.0,163,263.587846
33.0,33,263.605845
53.0,53,263.635845
119.0,119,273.261844
114.0,114,273.329846
