critic_loss,duration,episode,episode_reward,step
0.08218299597501755,0.014999628067016602,136.0,10.0,4
0.05720024295151234,0.037999868392944336,137.0,10.0,14
0.02198166038013167,0.03500175476074219,138.0,9.0,23
0.004823401140787735,0.23399782180786133,139.0,58.0,81
-0.008265348125456108,0.2109999656677246,140.0,54.0,135
-0.013149341886961147,0.15000081062316895,141.0,38.0,173
-0.01966521320109432,0.1509997844696045,142.0,37.0,210
-0.018754490804093988,0.27700066566467285,143.0,67.0,277
-0.04234462095932527,0.282001256942749,144.0,66.0,343
-0.05296910364599623,0.6960015296936035,145.0,169.0,512
-0.10826385281060213,0.7109978199005127,146.0,162.0,674
-0.24549155549979523,1.2310023307800293,147.0,304.0,978
-0.3899985009577216,1.2959980964660645,148.0,205.0,1184
-0.541842329019756,0.6690001487731934,149.0,173.0,1357
-0.9524397138861397,1.5759997367858887,150.0,409.0,1766
-1.4063064462837132,0.34200119972229004,151.0,87.0,1853
-1.6630667590687418,0.44699931144714355,152.0,117.0,1970
-2.121127216492669,0.7980008125305176,153.0,118.0,2089
-2.5411367196303147,0.7609994411468506,154.0,195.0,2284
-2.8010705148472503,0.5280070304870605,155.0,136.0,2420
-4.1936032922962045,0.916999340057373,156.0,237.0,2657
-5.78971431573232,1.1520006656646729,157.0,300.0,2957
-6.906840108845332,0.5199999809265137,158.0,73.0,3031
-6.847392266796481,0.1210012435913086,159.0,31.0,3062
-7.181398669878642,0.04599928855895996,160.0,12.0,3074
-7.998790491640178,0.593001127243042,161.0,153.0,3227
-8.720673831303914,0.1159980297088623,162.0,30.0,3257
-9.446984583871407,0.44300031661987305,163.0,114.0,3371
-10.140738325119019,0.19999980926513672,164.0,50.0,3421
-9.943445205688477,0.05700206756591797,165.0,14.0,3435
-11.5271795678646,0.90799880027771,166.0,235.0,3670
-14.176467584400642,1.2689998149871826,167.0,328.0,3998
-15.532247929633419,0.5389995574951172,168.0,79.0,4078
-16.636500545169998,0.18500113487243652,169.0,46.0,4124
-17.384452438354494,0.38699984550476074,170.0,95.0,4219
-20.06192185084025,0.11699819564819336,171.0,30.0,4249
-19.37885584265499,0.4550018310546875,172.0,118.0,4367
-20.5013600254918,0.4289984703063965,173.0,111.0,4478
-23.88377805856558,0.9319989681243896,174.0,234.0,4712
-26.673552133703744,0.7340006828308105,175.0,186.0,4898
-27.70691676761793,1.2480010986328125,176.0,138.0,5037
-30.917804718017578,0.17399907112121582,177.0,44.0,5081
-29.161306690525365,0.8630001544952393,178.0,222.0,5303
-35.91695145087513,1.4849998950958252,179.0,369.0,5672
-40.59397688098982,0.9959990978240967,180.0,204.0,5876
-46.83930228201396,1.164001226425171,181.0,209.0,6086
-48.659820536977236,0.8189985752105713,182.0,194.0,6280
-53.9026065826416,0.039999961853027344,183.0,10.0,6290
-60.08586502075195,0.06499934196472168,184.0,16.0,6306
-55.27125263778416,1.329000473022461,185.0,338.0,6644
-63.03623922438849,0.8269972801208496,186.0,210.0,6854
-57.903392232259115,0.29600071907043457,187.0,75.0,6929
-69.68768769276294,0.896000862121582,188.0,158.0,7088
-71.94506017896865,0.37599897384643555,189.0,90.0,7178
-74.81486286148714,1.0490000247955322,190.0,261.0,7439
-84.52009861765345,0.632000207901001,191.0,153.0,7592
-83.3674669265747,0.09799981117248535,192.0,24.0,7616
-85.48161660707913,0.508028507232666,193.0,104.0,7720
-89.03674992152622,0.44299936294555664,194.0,105.0,7825
-95.72163557643212,1.2050015926361084,195.0,197.0,8023
-98.83848788691502,0.40399932861328125,196.0,102.0,8125
-91.18517802311824,0.10200166702270508,197.0,26.0,8151
-99.0217685819422,0.6419985294342041,198.0,159.0,8310
-101.06180900927411,0.6210012435913086,199.0,151.0,8461
-111.58532907586348,0.3969998359680176,200.0,95.0,8556
-110.70589360019616,0.483001708984375,201.0,114.0,8670
-119.00525008575826,0.6529979705810547,202.0,158.0,8828
-116.61683991530846,0.5820009708404541,203.0,145.0,8973
-129.66159760718253,1.005000114440918,204.0,153.0,9127
-134.05365710392178,0.4350001811981201,205.0,107.0,9234
-140.37476774436146,0.8259999752044678,206.0,199.0,9433
-136.79313373565674,0.38500070571899414,207.0,88.0,9521
-153.02915005080044,0.9070003032684326,208.0,229.0,9750
-154.47183742523194,0.32199859619140625,209.0,80.0,9830
-155.35889086677034,0.41699957847595215,210.0,103.0,9933
-161.95255058255546,1.3640003204345703,211.0,231.0,10165
-170.45261916673252,0.6970009803771973,212.0,173.0,10338
-180.62640241236468,0.6250019073486328,213.0,153.0,10491
-203.9705341685902,0.4640007019042969,214.0,110.0,10601
-203.81688514915672,0.6089975833892822,215.0,148.0,10749
-206.3040254096023,2.2679989337921143,216.0,476.0,11226
-216.3434212912976,0.5859997272491455,217.0,142.0,11368
-223.730170666332,0.8459992408752441,218.0,213.0,11581
-237.31023852030435,0.874000072479248,219.0,216.0,11797
-255.82024042534107,1.445000171661377,220.0,264.0,12062
-262.4505986015578,0.8389995098114014,221.0,207.0,12269
-297.3578692118327,0.4930000305175781,222.0,120.0,12389
-292.53430211474324,0.6869997978210449,223.0,171.0,12560
-287.38066587776973,0.9420011043548584,224.0,232.0,12792
-306.91350999221305,0.6399998664855957,225.0,153.0,12945
-319.8162601489376,1.3080003261566162,226.0,207.0,13153
-328.0771690001462,0.8490009307861328,227.0,187.0,13340
-336.9775514783968,1.1249988079071045,228.0,263.0,13603
-362.33723925624247,1.4080007076263428,229.0,311.0,13914
-363.48336050851003,0.9949989318847656,230.0,140.0,14055
-367.48050101143974,0.5160000324249268,231.0,105.0,14160
-412.94392719169974,0.8060002326965332,232.0,193.0,14353
-404.07178817256806,0.39299774169921875,233.0,93.0,14446
-392.6854009320659,0.5430009365081787,234.0,124.0,14570
-445.0244248334099,0.3549997806549072,235.0,85.0,14655
-418.41491848084985,0.5290019512176514,236.0,123.0,14778
-448.6118828667535,0.7929987907409668,237.0,180.0,14958
-461.1217525874343,0.7629997730255127,238.0,107.0,15066
-464.3296728735572,0.4649989604949951,239.0,111.0,15177
-464.5457134246826,0.4419999122619629,240.0,96.0,15273
-455.04426232162785,0.4050014019012451,241.0,98.0,15371
-499.1780326012338,0.4389991760253906,242.0,101.0,15472
-459.30043555508144,0.4909994602203369,243.0,119.0,15591
-512.3269965431907,0.3840007781982422,244.0,88.0,15679
-518.4627861312673,0.6480011940002441,245.0,158.0,15837
-498.4975069792374,1.2660009860992432,246.0,230.0,16068
-556.8039524507839,0.633997917175293,247.0,151.0,16219
-526.5309243804043,0.4500007629394531,248.0,103.0,16322
-568.6803037728836,0.2739982604980469,249.0,67.0,16389
-607.6667721396998,0.2329998016357422,250.0,57.0,16446
-578.3588344767942,0.505000114440918,251.0,118.0,16564
-566.0050138077646,0.4570016860961914,252.0,106.0,16670
-585.5985389122596,0.7239990234375,253.0,169.0,16839
-602.4803866801288,1.0179989337921143,254.0,177.0,17017
-661.3929075835854,0.39800047874450684,255.0,93.0,17110
-620.5487910865719,0.4930000305175781,256.0,117.0,17227
-652.7181967710837,0.6640026569366455,257.0,156.0,17383
-681.3437563139817,0.5069990158081055,258.0,116.0,17499
-699.0652006415911,0.3809993267059326,259.0,93.0,17592
-668.904530843099,0.34599947929382324,260.0,84.0,17676
-701.0466120793269,0.4779999256134033,261.0,117.0,17793
-714.0084569264043,0.6760015487670898,262.0,163.0,17956
-743.6799596838049,0.5669994354248047,263.0,74.0,18031
-703.6169018554688,0.45599961280822754,264.0,100.0,18131
-687.9193872305063,0.44699978828430176,265.0,104.0,18235
-703.9625015258789,0.31999635696411133,266.0,72.0,18307
-703.4594253912205,0.7130005359649658,267.0,164.0,18471
-796.4816919752388,0.51300048828125,268.0,121.0,18592
-813.1980121940967,0.6410002708435059,269.0,151.0,18743
-783.2307443057789,0.2889997959136963,270.0,68.0,18811
-832.2855764535757,0.3390011787414551,271.0,78.0,18889
-802.9994630451444,0.341998815536499,272.0,79.0,18968
-819.8056712986267,1.0780012607574463,273.0,194.0,19163
-816.5900450010557,0.32399845123291016,274.0,74.0,19237
-876.0250042787533,0.4679999351501465,275.0,97.0,19334
-835.587000462916,0.3430030345916748,276.0,77.0,19411
-868.6531002646998,0.35399913787841797,277.0,76.0,19487
-892.3822631835938,0.397000789642334,278.0,92.0,19579
-852.2004069010417,0.3450005054473877,279.0,75.0,19654
-884.7204974630605,0.2030010223388672,280.0,46.0,19700
-909.5510612693993,0.6259973049163818,281.0,148.0,19848
-951.7262610719915,0.5180017948150635,282.0,114.0,19962
-950.970828034157,0.8349995613098145,283.0,129.0,20092
-964.476548936632,0.26599907875061035,284.0,63.0,20155
-964.5716906888986,0.7669999599456787,285.0,162.0,20317
-982.3840979150979,0.36300086975097656,286.0,83.0,20400
-984.2722487229568,0.2839999198913574,287.0,65.0,20465
-1044.9054790296052,0.5809977054595947,288.0,133.0,20598
-1000.9697493213719,0.26600027084350586,289.0,59.0,20657
-1047.1172983712013,0.47699952125549316,290.0,109.0,20766
-1006.9097527398003,0.3840007781982422,291.0,90.0,20856
-1049.1628023523863,0.8929996490478516,292.0,147.0,21004
-1068.5018478393554,0.3399996757507324,293.0,80.0,21084
-1111.5701024672564,0.4500002861022949,294.0,102.0,21186
-1100.447881627966,0.22900080680847168,295.0,54.0,21240
-1145.639244748835,0.4949986934661865,296.0,114.0,21354
-1092.3288243305253,0.3930015563964844,297.0,83.0,21437
-1125.1860223067433,0.34000110626220703,298.0,76.0,21513
-1151.6015867624224,0.7109980583190918,299.0,161.0,21674
-1096.849683335248,0.37900352478027344,300.0,85.0,21759
-1156.7706788770195,0.6719987392425537,301.0,147.0,21906
-1239.3461322784424,0.2720019817352295,302.0,64.0,21970
-1267.2537916917067,0.5199978351593018,303.0,65.0,22036
-1208.120658062874,0.8500001430511475,304.0,188.0,22224
-1256.5364370194693,0.2720000743865967,305.0,63.0,22287
-1261.6534446433739,1.1989998817443848,306.0,270.0,22557
-1318.4967587119654,0.3510012626647949,307.0,76.0,22633
-1270.1628832135882,0.2539980411529541,308.0,56.0,22689
-1377.2663744549418,0.8040006160736084,309.0,172.0,22861
-1327.8611582163219,0.8629992008209229,310.0,148.0,23010
-1351.0255758846508,0.7430000305175781,311.0,170.0,23180
-1288.5050825639205,0.2870001792907715,312.0,66.0,23246
-1407.0111022949218,0.7870011329650879,313.0,180.0,23426
-1461.7606510024473,0.36099982261657715,314.0,83.0,23509
-1455.1439268822764,0.44499897956848145,315.0,102.0,23611
-1406.5440314797795,0.5389988422393799,316.0,119.0,23730
-1533.7955131530762,0.44100093841552734,317.0,96.0,23826
-1485.7252875434028,0.3689994812011719,318.0,81.0,23907
-1484.6391540527343,0.3840000629425049,319.0,80.0,23987
-1573.3580585186298,0.502000093460083,320.0,65.0,24053
-1557.5541597254137,0.31600189208984375,321.0,68.0,24121
-1563.3469223022462,0.3769986629486084,322.0,80.0,24201
-1508.687038845486,0.3099997043609619,323.0,63.0,24264
-1612.8586001188858,0.22600317001342773,324.0,46.0,24310
-1557.4785329182944,0.5719964504241943,325.0,120.0,24430
-1595.3234584077875,0.8839998245239258,326.0,188.0,24618
-1622.711171796245,0.2930002212524414,327.0,62.0,24680
-1654.7519938151042,0.6660001277923584,328.0,144.0,24824
